stock_name,Basic EPS (Rs.)_yr1,Basic EPS (Rs.)_yr2,Basic EPS (Rs.)_yr3,Basic EPS (Rs.)_yr4,Basic EPS (Rs.)_yr5,Diluted EPS (Rs.)_yr1,Diluted EPS (Rs.)_yr2,Diluted EPS (Rs.)_yr3,Diluted EPS (Rs.)_yr4,Diluted EPS (Rs.)_yr5,Cash EPS (Rs.)_yr1,Cash EPS (Rs.)_yr2,Cash EPS (Rs.)_yr3,Cash EPS (Rs.)_yr4,Cash EPS (Rs.)_yr5,Book Value [ExclRevalReserve]/Share (Rs.)_yr1,Book Value [ExclRevalReserve]/Share (Rs.)_yr2,Book Value [ExclRevalReserve]/Share (Rs.)_yr3,Book Value [ExclRevalReserve]/Share (Rs.)_yr4,Book Value [ExclRevalReserve]/Share (Rs.)_yr5,Book Value [InclRevalReserve]/Share (Rs.)_yr1,Book Value [InclRevalReserve]/Share (Rs.)_yr2,Book Value [InclRevalReserve]/Share (Rs.)_yr3,Book Value [InclRevalReserve]/Share (Rs.)_yr4,Book Value [InclRevalReserve]/Share (Rs.)_yr5,Dividend / Share(Rs.)_yr1,Dividend / Share(Rs.)_yr2,Dividend / Share(Rs.)_yr3,Dividend / Share(Rs.)_yr4,Dividend / Share(Rs.)_yr5,Revenue from Operations/Share (Rs.)_yr1,Revenue from Operations/Share (Rs.)_yr2,Revenue from Operations/Share (Rs.)_yr3,Revenue from Operations/Share (Rs.)_yr4,Revenue from Operations/Share (Rs.)_yr5,PBDIT/Share (Rs.)_yr1,PBDIT/Share (Rs.)_yr2,PBDIT/Share (Rs.)_yr3,PBDIT/Share (Rs.)_yr4,PBDIT/Share (Rs.)_yr5,PBIT/Share (Rs.)_yr1,PBIT/Share (Rs.)_yr2,PBIT/Share (Rs.)_yr3,PBIT/Share (Rs.)_yr4,PBIT/Share (Rs.)_yr5,PBT/Share (Rs.)_yr1,PBT/Share (Rs.)_yr2,PBT/Share (Rs.)_yr3,PBT/Share (Rs.)_yr4,PBT/Share (Rs.)_yr5,Net Profit/Share (Rs.)_yr1,Net Profit/Share (Rs.)_yr2,Net Profit/Share (Rs.)_yr3,Net Profit/Share (Rs.)_yr4,Net Profit/Share (Rs.)_yr5,PBDIT Margin (%)_yr1,PBDIT Margin (%)_yr2,PBDIT Margin (%)_yr3,PBDIT Margin (%)_yr4,PBDIT Margin (%)_yr5,PBIT Margin (%)_yr1,PBIT Margin (%)_yr2,PBIT Margin (%)_yr3,PBIT Margin (%)_yr4,PBIT Margin (%)_yr5,PBT Margin (%)_yr1,PBT Margin (%)_yr2,PBT Margin (%)_yr3,PBT Margin (%)_yr4,PBT Margin (%)_yr5,Net Profit Margin (%)_yr1,Net Profit Margin (%)_yr2,Net Profit Margin (%)_yr3,Net Profit Margin (%)_yr4,Net Profit Margin (%)_yr5,Return on Networth / Equity (%)_yr1,Return on Networth / Equity (%)_yr2,Return on Networth / Equity (%)_yr3,Return on Networth / Equity (%)_yr4,Return on Networth / Equity (%)_yr5,Return on Capital Employed (%)_yr1,Return on Capital Employed (%)_yr2,Return on Capital Employed (%)_yr3,Return on Capital Employed (%)_yr4,Return on Capital Employed (%)_yr5,Return on Assets (%)_yr1,Return on Assets (%)_yr2,Return on Assets (%)_yr3,Return on Assets (%)_yr4,Return on Assets (%)_yr5,Total Debt/Equity (X)_yr1,Total Debt/Equity (X)_yr2,Total Debt/Equity (X)_yr3,Total Debt/Equity (X)_yr4,Total Debt/Equity (X)_yr5,Asset Turnover Ratio (%)_yr1,Asset Turnover Ratio (%)_yr2,Asset Turnover Ratio (%)_yr3,Asset Turnover Ratio (%)_yr4,Asset Turnover Ratio (%)_yr5,Current Ratio (X)_yr1,Current Ratio (X)_yr2,Current Ratio (X)_yr3,Current Ratio (X)_yr4,Current Ratio (X)_yr5,Quick Ratio (X)_yr1,Quick Ratio (X)_yr2,Quick Ratio (X)_yr3,Quick Ratio (X)_yr4,Quick Ratio (X)_yr5,Inventory Turnover Ratio (X)_yr1,Inventory Turnover Ratio (X)_yr2,Inventory Turnover Ratio (X)_yr3,Inventory Turnover Ratio (X)_yr4,Inventory Turnover Ratio (X)_yr5,Dividend Payout Ratio (NP) (%)_yr1,Dividend Payout Ratio (NP) (%)_yr2,Dividend Payout Ratio (NP) (%)_yr3,Dividend Payout Ratio (NP) (%)_yr4,Dividend Payout Ratio (NP) (%)_yr5,Dividend Payout Ratio (CP) (%)_yr1,Dividend Payout Ratio (CP) (%)_yr2,Dividend Payout Ratio (CP) (%)_yr3,Dividend Payout Ratio (CP) (%)_yr4,Dividend Payout Ratio (CP) (%)_yr5,Earnings Retention Ratio (%)_yr1,Earnings Retention Ratio (%)_yr2,Earnings Retention Ratio (%)_yr3,Earnings Retention Ratio (%)_yr4,Earnings Retention Ratio (%)_yr5,Cash Earnings Retention Ratio (%)_yr1,Cash Earnings Retention Ratio (%)_yr2,Cash Earnings Retention Ratio (%)_yr3,Cash Earnings Retention Ratio (%)_yr4,Cash Earnings Retention Ratio (%)_yr5,Enterprise Value (Cr.)_yr1,Enterprise Value (Cr.)_yr2,Enterprise Value (Cr.)_yr3,Enterprise Value (Cr.)_yr4,Enterprise Value (Cr.)_yr5,EV/Net Operating Revenue (X)_yr1,EV/Net Operating Revenue (X)_yr2,EV/Net Operating Revenue (X)_yr3,EV/Net Operating Revenue (X)_yr4,EV/Net Operating Revenue (X)_yr5,EV/EBITDA (X)_yr1,EV/EBITDA (X)_yr2,EV/EBITDA (X)_yr3,EV/EBITDA (X)_yr4,EV/EBITDA (X)_yr5,MarketCap/Net Operating Revenue (X)_yr1,MarketCap/Net Operating Revenue (X)_yr2,MarketCap/Net Operating Revenue (X)_yr3,MarketCap/Net Operating Revenue (X)_yr4,MarketCap/Net Operating Revenue (X)_yr5,Retention Ratios (%)_yr1,Retention Ratios (%)_yr2,Retention Ratios (%)_yr3,Retention Ratios (%)_yr4,Retention Ratios (%)_yr5,Price/BV (X)_yr1,Price/BV (X)_yr2,Price/BV (X)_yr3,Price/BV (X)_yr4,Price/BV (X)_yr5,Price/Net Operating Revenue_yr1,Price/Net Operating Revenue_yr2,Price/Net Operating Revenue_yr3,Price/Net Operating Revenue_yr4,Price/Net Operating Revenue_yr5,Earnings Yield_yr1,Earnings Yield_yr2,Earnings Yield_yr3,Earnings Yield_yr4,Earnings Yield_yr5
Kansai Nerolac Paints Ltd.,9.03,6.95,9.85,9.94,8.67,9.02,6.95,9.85,9.94,8.67,12.08,9.8,12.43,12.16,10.35,85.5,77.4,75.73,70.27,63.55,85.5,77.4,75.73,70.27,63.55,2.7,2.25,5.25,3.15,2.6,131.4,110.39,87.03,91.73,96,15.3,12.62,16.18,15,14.92,12.25,9.77,13.6,12.78,13.24,12.07,9.37,13.26,12.69,13.24,9.03,6.95,9.85,9.94,8.67,11.64,11.43,18.58,16.35,15.53,9.32,8.84,15.62,13.93,13.78,9.18,8.49,15.23,13.82,13.78,6.86,6.29,11.32,10.83,9.03,10.55,8.97,13.01,14.13,13.64,13.68,12.03,17.27,17.56,20.19,8,6.93,10.19,11.65,10.85,0,0,0,0,0,1.23,1.12,90.03,107.63,120.15,2.85,2.91,2.99,3.37,2.8,1.53,1.41,1.86,1.99,1.44,2.89,3.06,4.3,5.31,4.91,11.07,75.58,44.65,26.17,29.98,8.27,53.57,35.39,21.38,25.11,88.93,24.42,55.35,73.83,70.02,91.73,46.43,64.61,78.62,74.89,"20,706.80","25,096.76","32,293.74","20,643.34","24,563.23",2.92,4.22,6.89,4.18,4.75,25.11,36.9,37.04,25.53,30.56,2.94,4.23,6.9,4.21,4.76,88.92,24.41,55.34,73.82,70.01,4.51,6.04,7.93,5.5,7.2,2.94,4.23,6.9,4.21,4.76,0.02,0.01,0.02,0.03,0.02
KEC International Ltd.,7.01,16.9,25.13,21.23,19.36,7.01,16.9,25.13,21.23,19.36,11.95,21.69,29.87,25.8,23.46,154.17,149.96,136.9,110.39,97.02,154.17,149.96,136.9,110.39,97.02,0,4,4,3.4,2.7,599.5,489.04,460.98,407.26,393.54,34.48,44.66,49,44.34,43.75,29.55,39.87,44.26,39.76,39.65,9.73,23.84,34.87,28.99,28.6,7.01,16.9,25.13,21.23,19.36,5.75,9.13,10.62,10.88,11.11,4.92,8.15,9.6,9.76,10.07,1.62,4.87,7.56,7.11,7.26,1.16,3.45,5.45,5.21,4.91,4.54,11.26,18.35,19.22,19.95,17.9,24.78,30.26,33.32,33.68,1.04,2.86,4.8,4.5,4.48,0.69,0.63,0.5,0.69,0.61,0.95,0.88,88.13,86.39,91.14,1.11,1.14,1.16,1.14,1.19,1.05,1.07,1.09,1.08,1.14,8.4,7.57,17.42,17.53,21.56,0,23.66,0,28.69,12.39,0,18.43,0,23.6,10.22,0,76.34,0,71.31,87.61,0,81.57,0,76.4,89.78,"14,302.54","11,976.27","12,139.06","6,626.90","8,977.14",0.93,0.95,1.02,0.63,0.89,16.13,10.43,9.64,5.81,7.98,0.76,0.78,0.89,0.46,0.76,0,76.33,0,71.3,87.6,2.96,2.53,3,1.68,3.09,0.76,0.78,0.89,0.46,0.76,0.02,0.04,0.06,0.11,0.06
Karur Vysya Bank Ltd.,13.81,8.42,4.5,2.94,2.64,13.78,8.41,4.5,2.94,2.64,13.79,9.91,6.05,4.43,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.79,8.42,4.5,2.94,2.64,,,,,,,,,,,,,,,,16.97,12.04,6.56,3.92,3.62,,,,,,,,,,,1.22,0.84,0.48,0.34,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,94.06,100,100,75.07,,,,,,,,,,,,,,,
Kalyan Jewellers India Ltd.,3.78,2.08,1.63,1.86,0.54,3.78,2.08,1.44,1.63,0.47,5.56,3.83,3.03,4.08,1.62,35.6,31.68,29.37,24.29,23.91,35.6,31.68,29.37,24.29,23.91,0.5,0,0,0,0,112.46,87.92,71.12,93.49,88.75,9.47,7.13,6.58,8.75,4.56,7.7,5.37,4.89,6.54,3.48,5.1,2.81,1.82,2.8,0.77,3.78,2.08,1.34,1.86,0.54,8.42,8.1,9.24,9.36,5.13,6.84,6.11,6.87,6.99,3.92,4.53,3.2,2.55,2.99,0.86,3.36,2.36,1.88,1.99,0.6,10.63,6.56,4.56,7.67,2.23,18.31,14.41,13.7,19.12,13.06,4.23,2.76,1.74,2.33,0.74,0.36,0.73,0.79,1.23,1.29,1.37,1.16,1,116.97,123.23,1.37,1.35,1.29,1.23,1.19,0.2,0.14,0.26,0.28,0.26,2.07,1.78,1.65,2.16,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,556.17","7,969.71","8,504.64",0,0,1,0.88,1.16,0,0,11.84,10.86,12.55,0,0,0.94,0.67,0.96,0,0,0,0,0,0,0,2.96,1.85,2.32,0,0,0.94,0.67,0.96,0,0,0.04,0.04,0.02,0,0
Just Dial Ltd.,19.34,9.51,33.92,42,30.95,19.16,9.33,33,41.81,30.88,23.14,12.06,41.45,49.97,37.13,434.91,416.95,204.27,198.35,154.2,434.91,416.95,204.27,198.35,154.2,0,0,0,0,0,100.19,77.38,112.92,150.4,141.48,27.02,14.37,49.19,63.57,49.71,23.21,10.79,42.35,55.55,44.51,22.3,9.97,41.16,54.18,44.49,19.32,8.48,34.61,41.95,31.93,26.97,18.56,43.56,42.26,35.13,23.16,13.94,37.5,36.93,31.46,22.25,12.89,36.44,36.02,31.44,19.28,10.96,30.65,27.89,22.57,4.44,2.03,16.94,21.15,20.7,5.14,2.49,18.98,25.67,27.4,3.75,1.75,11.99,14.86,13.34,0,0,0,0,0,0.2,0.22,39.11,53.28,59.14,7.75,8.36,0.28,0.25,0.25,7.75,8.36,0.28,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,996.42","5,925.08","5,276.06","1,864.39","3,873.65",5.91,9.16,7.55,1.91,4.23,21.93,49.33,17.33,4.52,12.03,5.93,9.19,7.64,1.95,4.27,0,0,0,0,0,1.37,1.71,4.22,1.48,3.92,5.93,9.19,7.64,1.95,4.27,0.03,0.01,0.04,0.14,0.05
Jubilant Ingrevia Ltd.,15.91,28.39,14.75,-3.31,,15.91,28.39,14.75,-3.31,,23.42,35.94,3.76,-3.31,,135.5,124.5,98.94,-2.31,,135.5,124.5,98.94,-2.31,,5,5,0.35,0,,286.23,305.15,42,0,,32.99,52.85,6.23,-3.31,,25.48,45.31,4.89,-3.31,,23.08,42.41,3.49,-3.31,,15.91,28.39,2.42,-3.31,,11.52,17.32,14.84,0,,8.9,14.84,11.64,0,,8.06,13.89,8.3,0,,5.55,9.3,5.76,0,,11.73,22.8,2.44,0,,14.55,28.62,3.3,143.21,,6.24,12.38,1.19,-331.4,,0.28,0.21,0.41,0,,1.18,1.41,20.64,0,,1.26,1.4,1.47,0.3,,0.56,0.73,0.88,0.3,,3.1,4.36,1.28,0,,0,10.03,0,0,,0,7.93,0,0,,0,89.97,0,0,,0,92.07,0,0,,"6,295.81","7,565.53","4,719.98",0,,1.38,1.56,7.06,0,,11.98,8.99,47.54,0,,1.26,1.47,6.22,0,,0,89.96,0,0,,2.66,3.61,2.64,0,,1.26,1.47,6.22,0,,0.04,0.06,0.01,0,
Jyothy Labs Ltd.,6.52,4.25,5.18,4.29,5.29,6.52,4.25,5.18,4.29,5.29,7.89,6.39,7.3,6.36,6.85,24,25.68,25.43,20.24,23.26,24,25.68,25.43,20.24,23.26,3,2.5,4,3,3,67.59,58.99,51.33,45.35,48.17,9.67,7.31,9.17,7.35,8.54,8.31,5.17,7.04,5.29,6.95,8.14,4.99,6.08,4.51,6.2,6.52,4.25,5.18,4.29,5.26,14.3,12.39,17.85,16.2,17.72,12.28,8.76,13.72,11.65,14.43,12.04,8.45,11.85,9.94,12.86,9.65,7.2,10.09,9.46,10.92,27.17,16.55,20.37,21.21,22.62,30.94,18.31,25.3,23.44,28.34,17.2,10.76,13.36,12.23,13.68,0,0.03,0.05,0.3,0.25,1.75,1.51,132.39,129.18,125.26,1.89,1.7,1.59,0.95,1.17,1.15,0.99,0.9,0.47,0.78,4.34,3.83,6.81,7.48,8.82,0,94.07,0,139.71,9.41,0,62.59,0,94.38,7.22,0,5.93,0,-39.71,90.59,0,37.41,0,5.62,92.78,"6,730.97","5,237.15","4,884.62","3,643.46","6,829.39",2.71,2.42,2.59,2.19,3.86,18.96,19.51,14.51,13.5,21.78,2.83,2.5,2.67,2.07,3.79,0,5.92,0,-39.71,90.58,7.96,5.75,5.38,4.63,7.85,2.83,2.5,2.67,2.07,3.79,0.03,0.03,0.04,0.05,0.03
Kajaria Ceramics Ltd.,21.63,22.77,19.37,17.54,15.47,21.62,22.76,19.36,17.54,15.46,27.34,28.05,24.42,22.49,19.46,145.72,132.59,117.57,108.8,98.49,145.72,132.59,117.57,108.8,98.49,9,11,10,3,3,249.42,207.25,158.59,161.75,171.45,35.5,36.14,31.33,26.84,27.37,29.79,30.85,26.27,21.88,23.38,29.11,30.47,25.95,21.34,23.47,21.63,22.76,19.36,17.53,15.47,14.23,17.43,19.75,16.59,15.96,11.94,14.88,16.56,13.52,13.63,11.67,14.7,16.36,13.19,13.68,8.67,10.98,12.2,10.84,9.02,14.84,17.16,16.46,16.11,15.7,19.45,22.09,21.16,18.78,22.11,11.63,13.46,13.41,12.69,12,0.04,0.02,0,0.02,0.01,1.4,1.32,1.12,117.15,133.14,2.61,2.52,3.35,2.72,2.61,1.88,1.91,2.61,1.81,1.84,2.06,2.23,1.57,8.25,9.7,0,35.14,51.65,34.21,19.39,0,28.51,40.94,26.66,15.41,0,64.86,48.35,65.79,80.61,0,71.49,59.06,73.34,84.59,"16,490.55","15,822.28","14,276.37","5,809.55","9,154.04",4.15,4.8,5.66,2.26,3.36,29.18,27.5,28.64,13.61,21.04,4.23,4.91,5.83,2.33,3.45,0,64.85,48.34,65.78,80.6,7.23,7.68,7.86,3.46,6,4.23,4.91,5.83,2.33,3.45,0.02,0.02,0.02,0.05,0.03
Jubilant Pharmova Ltd.,3.13,4.93,13.47,20.16,9.27,3.13,4.93,13.47,20.16,9.27,5.85,5.32,19.74,26.9,14.7,151.57,80.47,80.51,163.67,146.91,151.57,80.47,80.51,163.67,146.91,5,5,5,5,4.5,50.85,5.51,170.09,197.11,215.86,8.86,7.48,29.81,34.16,25.04,6.14,7.08,23.54,27.42,19.61,4.98,5.16,17.15,18.76,11.51,3.13,4.93,13.46,20.16,9.27,17.41,135.7,17.52,17.32,11.59,12.07,128.58,13.83,13.9,9.08,9.79,93.73,10.08,9.51,5.33,6.15,89.46,7.91,10.22,4.29,2.06,6.12,16.72,12.31,6.3,3.69,6.29,21.74,10.76,8.76,1.65,4.29,11.62,5.91,3.03,0.12,0.39,0.38,0.75,0.68,0.33,0.05,146.88,57.78,70.7,1.6,1.27,0.55,1.25,0.99,0.73,1.27,0.55,0.77,0.61,0,0,0,4.78,6.99,0,101.44,0,47.11,32.36,0,93.96,0,35.31,20.41,0,-1.44,0,52.89,67.64,0,6.04,0,64.69,79.59,"4,735.78","6,654.15","11,291.45","5,657.34","12,148.25",5.85,75.83,4.17,1.8,3.53,33.56,55.88,23.77,10.4,30.46,5.49,70.4,4,1.26,3.08,0,-1.44,0,52.88,67.63,1.84,4.82,8.45,1.52,4.52,5.49,70.4,4,1.26,3.08,0.01,0.01,0.02,0.08,0.01
JSW Energy Ltd.,4.33,3.47,1.13,3.03,1.53,4.33,3.46,1.13,3.03,1.53,6.27,5.47,3.31,5.28,3.76,82.96,82.26,70.83,57.25,61.96,82.96,82.26,70.83,57.25,61.96,2,2,2,1,1,34.98,22.22,17.64,26.27,31.19,9.06,7.76,5.33,6.65,7.11,7.13,5.76,3.15,4.4,4.89,6.28,4.99,1.87,2.58,2.38,4.33,3.48,1.13,3.03,1.53,25.9,34.93,30.22,25.31,22.8,20.37,25.94,17.87,16.75,15.67,17.93,22.45,10.62,9.82,7.62,12.38,15.64,6.42,11.53,4.91,5.22,4.22,1.6,5.29,2.47,6.58,6.28,4,6.52,6.33,3.23,3.41,1.26,3.67,1.62,0.46,0.09,0.08,0.14,0.2,0.3,0.23,19.68,31.82,32.99,0.53,2.92,0.87,1.01,0.53,0.35,2.44,0.73,0.79,0.4,0,0,12.26,7.98,14.69,46.24,57.67,88.23,32.96,0,31.97,36.61,30.18,18.92,0,53.76,42.33,11.77,67.04,0,68.03,63.39,69.82,81.08,0,"45,326.34","50,078.41","15,226.82","8,169.97","13,854.26",7.9,13.75,5.26,1.89,2.71,30.49,39.35,17.38,7.48,11.87,6.88,13.45,4.99,1.62,2.33,53.75,42.32,11.76,67.03,0,2.9,3.63,1.24,0.74,1.17,6.88,13.45,4.99,1.62,2.33,0.02,0.01,0.01,0.07,0.02
Jubilant Foodworks Ltd.,5.4,33.15,17.71,20.87,24.46,5.4,33.15,17.71,20.87,24.46,12.6,62.17,45.53,46.95,36,32.51,159.39,113.45,89.64,100.31,32.51,159.39,113.45,89.64,100.31,1.2,6,6,6,5,77.23,328.19,247.7,294.45,267.54,18.32,86.78,63.42,71.68,49.61,11.12,57.76,35.59,45.6,38.07,7.45,44.1,23.42,29.82,37.47,5.4,33.15,17.71,20.87,24.46,23.72,26.44,25.6,24.34,18.54,14.39,17.6,14.36,15.48,14.22,9.65,13.43,9.45,10.12,14,6.99,10.1,7.14,7.08,9.14,16.6,20.79,15.6,23.28,24.38,17.28,19.7,15.93,22.36,36.57,6.78,9.16,6.14,8.1,16.86,0,0,0,0,0,1.02,1.01,85.98,114.32,184.48,0.65,1.04,0.95,1.19,1.49,0.48,0.86,0.8,1.06,1.36,7.05,6.4,25.05,42.15,48.27,0,18.09,0,52.7,10.22,0,9.65,0,23.42,6.94,0,81.91,0,47.3,89.78,0,90.35,0,76.58,93.06,"28,819.96","34,239.78","37,925.77","18,763.52","18,552.75",5.66,7.91,11.6,4.83,5.25,23.84,29.9,45.32,19.84,28.34,5.7,8.03,11.76,4.99,5.39,0,81.9,0,47.29,89.77,13.54,16.53,25.68,16.4,14.39,5.7,8.03,11.76,4.99,5.39,0.01,0.01,0.01,0.01,0.02
JM Financial Ltd.,2.86,3.44,1.88,1.51,1.33,2.86,3.43,1.88,1.51,1.32,2.97,3.55,1.96,1.66,1.35,39.97,39.16,36.77,30.59,29.55,39.97,39.16,36.77,30.59,29.55,1.8,1.65,0.5,0.2,1,3.52,5.88,3.63,3.05,1.78,3.45,4.54,2.48,2.1,1.63,3.35,4.43,2.35,1.95,1.61,3.28,4.36,2.28,1.86,1.38,2.86,3.44,1.84,1.51,1.33,98.03,77.3,68.15,68.77,91.61,95.05,75.4,64.7,64.02,90.37,93.22,74.19,62.61,60.98,77.3,81.26,58.47,50.6,49.62,74.36,7.15,8.77,5,4.94,4.48,8.04,10.84,6.11,6,5.15,6.68,8.12,4.62,4.47,4.18,0,0,0,0,0,0.08,0.14,0.1,9.02,5.63,33.82,27.1,28.78,24.06,70.62,33.82,27.1,28.78,24.06,70.62,0,0,0,0,0,0,29.08,9.59,32.99,120.62,0,28.16,8.98,30.1,118.63,0,70.92,90.41,67.01,-20.62,0,71.84,91.02,69.9,-18.63,"5,675.19","6,368.50","8,035.78","5,391.91","7,877.15",16.89,11.36,23.21,21.02,52.63,17.23,14.7,34.05,30.56,57.44,16.93,11.51,23.25,21.1,52.72,0,70.91,90.4,67,-20.62,1.49,1.73,2.3,2.1,3.18,16.93,11.51,23.25,21.1,52.72,0.05,0.05,0.02,0.02,0.01
JSW Steel Ltd.,20.56,69.48,34.92,22.03,33.77,20.42,69.1,34.72,21.89,33.6,32.85,70.48,40.31,29.28,38.35,211.49,210.97,155.55,127.45,115.92,211.49,210.97,155.55,127.45,115.92,3.4,17.35,6.5,2,4.1,437.5,394.75,234.2,213.5,256.44,56.29,112.28,65.99,43.67,62.85,39.84,97.3,53.47,31.97,51.48,23.15,82.11,40.38,14.26,38.89,16.4,55.49,27.79,17.58,26.98,12.86,28.44,28.17,20.45,24.5,9.1,24.64,22.83,14.97,20.07,5.29,20.8,17.24,6.67,15.16,3.74,14.05,11.86,8.23,10.52,7.75,26.3,17.86,13.79,23.27,9.7,25.08,16.78,11.13,21.75,2.85,10.25,6.29,4.33,7.55,0.87,0.79,0.87,1.2,0.94,0.78,0.8,53.08,52.65,71.85,1,1.03,0.8,0.83,0.78,0.6,0.57,0.51,0.55,0.49,3.72,3.24,6.61,6.68,7.14,0,9.4,5.75,22.49,11.18,0,7.4,3.96,13.5,7.86,0,90.6,94.25,77.51,88.82,0,92.6,96.04,86.5,92.14,"2,43,558.05","2,55,420.60","1,70,380.70","78,740.45","1,15,371.85",1.85,2.15,2.41,1.23,1.49,14.38,7.56,8.55,5.99,6.1,1.57,1.86,2,0.69,1.14,0,90.59,94.24,77.5,88.81,3.25,3.47,3.01,1.15,2.53,1.57,1.86,2,0.69,1.14,0.02,0.08,0.06,0.12,0.09
JK Paper Ltd.,52.26,30.17,18.68,27.64,24.57,52.26,30.17,18.68,27.64,24.51,66.24,40.15,28.09,35.7,31.56,222.81,179.73,153.5,132.86,114.52,222.81,179.73,153.5,132.86,114.52,8,5.5,4,4,3.5,367.89,234.99,161.84,171.36,182.69,103.86,60.39,41.41,55.26,51.96,89.88,50.42,32.34,47.21,44.93,77.42,44.95,26.77,40.32,38.06,52.26,30.17,19.02,27.64,24.53,28.23,25.7,25.58,32.24,28.43,24.43,21.45,19.98,27.54,24.59,21.04,19.12,16.53,23.52,20.83,14.2,12.83,11.75,16.13,13.42,23.45,16.78,12.39,20.8,21.41,23.87,14.45,10.98,22.12,23.42,11.34,7.18,5.33,10.38,10.32,0.63,0.86,0.8,0.48,0.54,0.84,0.61,45.43,64.39,76.87,1.46,1.5,1.24,1.26,1.55,0.99,1.11,0.91,0.79,1.15,4.05,3.36,7.93,6.83,10.1,0,13.25,0,32.7,12.28,0,9.96,0,25.32,9.55,0,86.75,0,67.3,87.72,0,90.04,0,74.68,90.45,"8,824.31","7,770.51","4,610.31","2,431.31","3,624.82",1.42,1.95,1.68,0.8,1.11,5.02,7.6,6.57,2.47,3.91,1.04,1.29,0.93,0.44,0.78,0,86.74,0,67.29,87.71,1.71,1.69,0.98,0.56,1.25,1.04,1.29,0.93,0.44,0.78,0.14,0.1,0.13,0.37,0.17
JK Lakshmi Cement Ltd.,28.11,36.22,30.92,19.99,6.76,28.11,36.22,30.92,19.99,6.76,44.55,52.4,47.41,35.99,22,231.41,208.36,176.63,145.51,129.37,231.41,208.36,176.63,145.51,129.37,0,5,3.75,2.5,0.75,515.81,428.27,372.53,343.54,329.85,65.12,73.79,73.43,61.38,40.04,48.68,57.6,56.93,45.38,24.8,40.91,47.43,42.19,28.84,8.87,28.1,36.21,30.91,19.99,6.76,12.62,17.22,19.7,17.86,12.13,9.43,13.45,15.28,13.2,7.51,7.93,11.07,11.32,8.39,2.68,5.44,8.45,8.29,5.81,2.04,12.14,17.38,17.5,13.73,5.22,14.84,18.36,19.93,16.59,9.27,6.34,8.8,7.8,5.17,1.78,0.3,0.39,0.38,0.69,0.87,1.21,1.06,94.06,88.87,87.13,1.39,1.34,1,0.85,0.72,0.88,0.91,0.76,0.54,0.48,1.55,4.64,13.9,9.79,12.46,0,10.35,0,19.59,13.37,0,7.15,0,10.88,4.1,0,89.65,0,80.41,86.63,0,92.85,0,89.12,95.9,"9,786.00","6,174.20","5,521.84","3,454.93","5,392.79",1.61,1.22,1.26,0.85,1.39,12.77,7.11,6.39,4.78,11.44,1.53,1.1,1.16,0.57,1.05,0,89.64,0,80.4,86.62,3.42,2.26,2.45,1.34,2.69,1.53,1.1,1.16,0.57,1.05,0.04,0.08,0.07,0.1,0.02
Jindal Stainless Ltd.,24.46,33.65,8.78,3.16,2.9,24.46,32.39,8.65,3.16,2.9,32.65,38.67,16.45,11.53,9.89,139.13,93.92,64.71,54.54,51.64,139.13,93.92,64.71,54.54,51.64,2.5,0,0,0,0,425.41,386.53,239.7,252.85,262.63,44.61,54.13,29.52,24.87,24.28,36.42,47.32,21.85,16.48,17.29,32.83,41.3,14.37,5.02,4.6,24.46,31.86,8.78,3.14,2.9,10.48,14,12.31,9.83,9.24,8.56,12.24,9.11,6.51,6.58,7.71,10.68,5.99,1.98,1.75,5.74,8.24,3.66,1.24,1.1,17.57,33.92,13.57,5.75,5.61,19.11,33.92,16.15,13.32,13.53,7.7,12.13,4.16,1.51,1.38,0.3,0.57,0.91,1.17,1.18,1.75,1.69,113.77,121.88,125.58,1.38,1.04,1.04,0.85,0.84,0.65,0.49,0.37,0.27,0.32,4.37,4.79,4.73,5.29,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,438.48","13,245.15","6,067.09","4,238.15","5,554.74",0.75,0.65,0.52,0.34,0.44,7.2,4.66,4.22,3.5,4.77,0.68,0.52,0.28,0.09,0.15,0,0,0,0,0,2.08,2.16,1.04,0.44,0.79,0.68,0.52,0.28,0.09,0.15,0.08,0.16,0.13,0.13,0.07
